graph_row_type[Text](Row Type),graph_item_name[Text](Item Name),graph_src_vertex_name[Text](Source Vertex Name),graph_src_vertex_id[Text](Source Vertex Id),graph_dst_vertex_name[Text](Destination Vertex Name),graph_dst_vertex_id[Text](Destination Vertex Id),common_vertex_label[Text](Label),common_id[Text](Id),common_name[Text](Name),common_summary[Text](Summary),movie_release_year[Integer](Release Year),movie_genres[Text](Genres),movie_revenue[Double](Revenue),principal_birth_year[Integer](Birth Year),principal_professions[Text](Professions),principal_is_male[Boolean](Is Male),principal_height[Integer](Height),principal_eye_color[Text](Eye Color),common_vertex_src_id[Text](Vertex Src Id),common_vertex_dst_id[Text](Vertex Dst Id),common_type[Text](Edge Type),contribution[Text](Contribution),employment_year[Integer](Employment Year),character_name[Text](Character Name)
V,Principal,,,,,,nm0000125,Sean Connery,"The tall, handsome and muscular Scottish actor Sean Connery is best known as the original actor to portray James Bond in the hugely successful movie franchise, starring in seven films between 1962 and 1983. Some believed that such a career-defining role might leave him unable to escape it, but he proved the doubters wrong, becoming one of the most notable film actors of his generation, with a host of great movies to his name. This arguably culminated in his greatest acclaim in 1988, when Connery won the Academy Award for Best Supporting Actor for his role as an Irish cop in The Untouchables (1987), stealing the thunder from the movie's principal star Kevin Costner. Connery was polled as ""The Greatest Living Scot"" and ""Scotland's Greatest Living National Treasure"". In 1989, he was proclaimed ""Sexiest Man Alive"" by People magazine, and in 1999, at age 69, he was voted ""Sexiest Man of the Century.""",,,,1930,actor,true,74,Brown,,,,,,
V,Principal,,,,,,nm0000361,Brian De Palma,"Brian De Palma is the son of a surgeon. He studied physics but at the same time felt his dedication for the movies and made some short films. After seven independent productions he had his first success with Sisters (1972) and his voyeuristic style. Restlessly he worked on big projects with the script writers Paul Schrader, John Farris and Oliver Stone. He also filmed a novel of Stephen King: Carrie (1976). Another important film was The Untouchables (1987) with a script by David Mamet adapted from the TV series.",,,,1940,director,true,71,Gray,,,,,,
V,Principal,,,,,,nm0000412,Andy Garcia,"One of Hollywood's most private and guarded leading men, Andy Garcia has created iconic characters while at the same time staying true to his acting roots and personal projects. Garcia was born Andrés Arturo García Menéndez on April 12, 1956, in Havana, Cuba, to Amelie Menéndez, a teacher of English, and René García Núñez, an attorney and avocado farmer. Garcia's family was relatively affluent. However, when he was two years old, Fidel Castro came to power, and the family fled to Miami Beach. Forced to work menial jobs for a while, the family started a fragrance company that was eventually worth more than a million dollars. He attended Natilus Junior High School and later at Miami Beach Senior High School. Andy was a popular student in school, a good basketball player and good-looking. He dreamed of playing professional baseball. In his senior year, though, he contracted mononucleosis and hepatitis, and unable to play sports, he turned his attention to acting.",,,,1956,actor,true,70,Hazel,,,,,,
V,Principal,,,,,,nm0000134,Robert De Niro,"One of the greatest actors of all time, Robert De Niro was born on August 17, 1943 in Manhattan, New York City, to artists Virginia (Admiral) and Robert De Niro Sr. His paternal grandfather was of Italian descent, and his other ancestry is Irish, English, Dutch, German, and French. He was trained at the Stella Adler Conservatory and the American Workshop. De Niro first gained fame for his role in Bang the Drum Slowly (1973), but he gained his reputation as a volatile actor in Mean Streets (1973), which was his first film with director Martin Scorsese. He received an Academy Award for Best Supporting Actor for his role in The Godfather: Part II (1974) and received Academy Award nominations for best actor in Taxi Driver (1976), The Deer Hunter (1978) and Cape Fear (1991). He received the Academy Award for Best Actor for his role as Jake LaMotta in Raging Bull (1980).",,,,1943,actor,true,70,Brown,,,,,,
V,Movie,,,,,,tt0060009,Mission: Impossible,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",1996,Action,4.5769799E7,,,,,,,,,,,
V,Principal,,,,,,nm0000129,Tom Cruise,"In 1976, if you had told fourteen-year-old Franciscan seminary student Thomas Cruise Mapother IV that one day in the not too distant future he would be Tom Cruise, one of the top 100 movie stars of all time, he would have probably grinned and told you that his ambition was to join the priesthood. Nonetheless, this sensitive, deeply religious youngster who was born in 1962 in Syracuse, New York, was destined to become one of the highest paid and most sought after actors in screen history. Tom is the only son (among four children) of nomadic parents, Mary Lee (Pfeiffer), a special education teacher, and Thomas Cruise Mapother III, an electrical engineer. His parents were both from Louisville, Kentucky, and he has German, Irish, and English ancestry. Young Tom spent his boyhood always on the move, and by the time he was 14 he had attended 15 different schools in the U.S. and Canada. He finally settled in Glen Ridge, New Jersey with his mother and her new husband. While in high school, Tom wanted to become a priest but pretty soon he developed an interest in acting and abandoned his plans of becoming a priest, dropped out of school, and at age 18 headed for New York and a possible acting career. The next 15 years of his life are the stuff of legends. He made his film debut with a small part in Endless Love (1981) and from the outset exhibited an undeniable box office appeal to both male and female audiences.",,,,1962,actor,true,67,Green,,,,,,
V,Principal,,,,,,nm0000685,Jon Voight,"Jon Voight is an American actor of German and Slovak descent. He has won the Academy Award for Best Actor in a Leading Role for his role as paraplegic Vietnam War veteran Luke Martin in the war film ""Coming Home"" (1978). He has also been nominated for the same award other two times. He was first nominated for his role as aspiring gigolo Joe Buck in ""Midnight Cowboy"" (1969), He was last nominated for the award for his role as escaped convict Oscar ""Manny"" Manheim in ""Runaway Train"" (1985). He was also nominated for the Academy Award for Best Actor in a Supporting Role, for his role as sports journalist Howard Cosell (1918-1995) in ""Ali"" (2001).",,,,1938,actor,true,74,Brown,,,,,,
V,Principal,,,,,,nm0000384,Danny Elfman,"As Danny Elfman was growing up in the Los Angeles area, he was largely unaware of his talent for composing. It wasn't until the early 1970s that Danny and his older brother Richard Elfman started a musical troupe while in Paris; the group ""Mystic Knights of Oingo-Boingo"" was created for Richard's directorial debut, Forbidden Zone (1980) (now considered a cult classic by Elfman fans). The group's name went through many incarnations over the years, beginning with ""The Mystic Knights of the Oingo Boingo"" and eventually just Oingo Boingo. While continuing to compose eclectic, intelligent rock music for his L.A.-based band (some of which had been used in various film soundtracks, e.g. Weird Science (1985)), Danny formed a friendship with young director Tim Burton, who was then a fan of Oingo Boingo. Danny went on to score the soundtrack of Pee-wee's Big Adventure (1985), Danny's first orchestral film score. The Elfman-Burton partnership continued (most notably through the hugely-successful ""Batman"" flicks) and opened doors of opportunity for Danny, who has been referred to as ""Hollywood's hottest film composer"".",,,,1953,music_department,true,65,Blue,,,,,,
V,Movie,,,,,,tt0790724,Jack Reacher,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,2012,Action,2.18E8,,,,,,,,,,,
V,Movie,,,,,,tt1631867,Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",2014,Action,3.7E8,,,,,,,,,,,
V,Principal,,,,,,nm1289434,Emily Blunt,"Emily Olivia Leah Blunt is a British actress known for her roles in The Devil Wears Prada (2006), The Young Victoria (2009), Edge of Tomorrow (2014), and The Girl on the Train (2016), among many others. Blunt was born on February 23, 1983, in Roehampton, South West London, England, the second of four children in the family of Joanna Mackie, a former actress and teacher, and Oliver Simon Peter Blunt, a barrister. Her grandfather was Major General Peter Blunt, and her uncle is MP Crispin Blunt. Emily received a rigorous education at Ibstock Place School, a co-ed private school at Roehampton. However, young Emily Blunt had a stammer, since she was a kid of 8. Her mother took her to relaxation classes, which did not do anything. She reached a turning point at 12, when a teacher cleverly asked her to play a character with a different voice and said, ""I really believe in you"". Blunt ended up using a northern accent, and it did the trick, her stammer disappeared.",,,,1983,actress,false,67,Blue,,,,,,
V,Principal,,,,,,nm0000200,Bill Paxton,"Bill Paxton was born on May 17, 1955 in Fort Worth, Texas. He was the son of Mary Lou (Gray) and John Lane Paxton, a businessman and actor (as John Paxton). Bill moved to Los Angeles, California at age eighteen, where he found work in the film industry as a set dresser for Roger Corman's New World Pictures. He made his film debut in the Corman film Crazy Mama (1975), directed by Jonathan Demme. Moving to New York, Paxton studied acting under Stella Adler at New York University. After landing a small role in Stripes (1981), he found steady work in low-budget films and television. He also directed, wrote and produced award-winning short films including Barnes & Barnes: Fish Heads (1980), which aired on Saturday Night Live (1975). His first appearance in a James Cameron film was a small role in The Terminator (1984), followed by his very memorable performance as Private Hudson in Aliens (1986) and as the nomadic vampire Severen in Kathryn Bigelow's Near Dark (1987). Bill also appeared in John Hughes' Weird Science (1985), as Wyatt Donnelly's sadistic older brother Chet. Although he continued to work steadily in film and television, his big break did not come until his lead role in the critically acclaimed film-noir One False Move (1992). This quickly led to strong supporting roles as Wyatt Earp's naive younger brother Morgan in Tombstone (1993) and as Fred Haise, one of the three astronauts, in Apollo 13 (1995), as well as in James Cameron's offering True Lies (1994).",,,,1955,actor,true,72,Blue,,,,,,
V,Principal,,,,,,nm0065100,Christophe Beck,"Christophe Beck was born in 1972 in Montreal, Quebec, Canada as Jean-Christophe Beck. He is known for his work on Frozen (2013), Ant-Man (2015) and The Muppets (2011).",,,,1972,composer,true,69,Brown,,,,,,
V,Movie,,,,,,tt0499544,Pitch Perfect,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",2012,Comedy,1.16044347E8,,,,,,,,,,,
V,Principal,,,,,,nm0447695,Anna Kendrick,"Anna Kendrick was born in Portland, Maine, to Janice (Cooke), an accountant, and William Kendrick, a teacher. She has an older brother, Michael Cooke Kendrick, who has also acted. She is of English, Irish, and Scottish descent. For her role as ""Dinah"" in ""High Society"" on Broadway, Anna Kendrick was nominated for a Tony Award (second youngest ever), a Drama Desk Award, and a Fany Award (best actress featured in a musical). Her spectacular performance landed her the Drama League and Theatre World Award.",,,,1985,actress,false,62,Blue,,,,,,
V,Principal,,,,,,nm2799457,Skylar Astin,"Skylar Astin was born Skylar Astin Lipstein in New York and grew up in Rockland County, part of the NY Metropolitan Area. He is the son of Meryl and Barry Lipstein, a garment industry executive. Astin has two brothers, Jace and Milan, and a sister, Brielle. He attended Clarkstown High School North. After graduation he attended New York University, as a student in the Tisch School of the Arts. He took a leave of absence to join the original cast of Spring Awakening as Georg on Broadway. He was in the show for close to a year before moving to LA and starting his acting career in movies and TV shows.",,,,1987,actor,true,69,Brown,,,,,,
V,Principal,,,,,,nm0811242,Brittany Snow,"Brittany Anne Snow (born March 9, 1986) is an American actress and singer. She began her career as Susan ""Daisy"" Lemay on the CBS series Guiding Light (1952) for which she won a Young Artist Award for Best Young Actress and was nominated for two other Young Artist Awards and a Soap Opera Digest Award. She then played the protagonist Meg Pryor on the NBC series American Dreams (2002) for which she was nominated for a Young Artist Award and three Teen Choice Awards.",,,,1986,actress,false,65,Green,,,,,,
V,Principal,,,,,,nm2319871,Anna Camp,"Anna Camp grew up in South Carolina and is the daughter of Dee and Thomas Camp. Anna graduated from the University of North Carolina School of the Arts in 2004. She then moved to New York City and has appeared in films and television shows since 2007. From 2009 to 2014, she starred in the series True Blood (2008) as Sarah Newlin. She had a main role in The Mindy Project (2012) from 2012 to 2013. In 2011, Camp appeared in the film The Help (2011). She starred in Pitch Perfect (2012) and Pitch Perfect 2 (2015), playing the character of Aubrey Posen. She was married to Michael Mosley from 2010 to 2013 and married Skylar Astin in 2016.",,,,1982,actress,false,68,Blue,,,,,,
V,Movie,,,,,,tt0112384,Apollo 13,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,1995,Adventure,3.35802271E8,,,,,,,,,,,
V,Principal,,,,,,nm0000165,Ron Howard,"Academy Award-winning filmmaker Ron Howard is one of this generation's most popular directors. From the critically acclaimed dramas A Beautiful Mind (2001) and Apollo 13 (1995) to the hit comedies Parenthood (1989) and Splash (1984), he has created some of Hollywood's most memorable films.",,,,1954,actor,true,69,Blue,,,,,,
V,Principal,,,,,,nm0000158,Tom Hanks,"Thomas Jeffrey Hanks was born in Concord, California, to Janet Marylyn (Frager), a hospital worker, and Amos Mefford Hanks, an itinerant cook. His mother's family, originally surnamed ""Fraga"", was entirely Portuguese, while his father was of mostly English ancestry. Tom grew up in what he has called a ""fractured"" family. He moved around a great deal after his parents' divorce, living with a succession of step-families. No problems, no alcoholism - just a confused childhood. He has no acting experience in college and credits the fact that he could not get cast in a college play with actually starting his career. He went downtown, and auditioned for a community theater play, was invited by the director of that play to go to Cleveland, and there his acting career started.",,,,1956,producer,true,72,Green,,,,,,
V,Principal,,,,,,nm0000102,Kevin Bacon,"Kevin's early training as an actor came from The Manning Street. His debut as the strict Chip Diller in National Lampoon's Animal House (1978) almost seems like an inside joke, but he managed to escape almost unnoticed from that role. Diner (1982) became the turning point after a couple of television series and a number of less-than-memorable movie roles. In a cast of soon-to-be stars, he more than held his end up, and we saw a glimpse of the real lunatic image of The Bacon. He also starred in Footloose (1984), She's Having a Baby (1988), Tremors (1990) with Fred Ward, Flatliners (1990), and Apollo 13 (1995).",,,,1958,actor,true,68,Blue,,,,,,
V,Principal,,,,,,nm0000438,Ed Harris,"Ed Harris was born in Tenafly, New Jersey, to Margaret (Sholl), a travel agent, and Robert Lee Harris, a bookstore worker who also sang professionally. Both of his parents were originally from Oklahoma. Harris grew up as the middle child. After graduating high school, he attended New York's Columbia University, where he played football. After viewing local theater productions, Harris took a sudden interest in acting. He left Columbia, headed to Oklahoma, where his parents were living, and enrolled in the University of Oklahoma's theater department. After graduation, he moved to Los Angeles to find work. He started acting in theater and television guest spots. Harris landed his first leading role in a film in cult-favorite George A. Romero's Knightriders (1981). Two years later, he got his first taste of critical acclaim, playing astronaut John Glenn in The Right Stuff (1983). Also that year, he made his New York stage debut in Sam Shepard's ""Fool for Love"", a performance that earned him an Obie for Outstanding Actor. Harris' career gathered momentum after that. In 2000, he made his debut as a director in the Oscar-winning film Pollock (2000).",,,,1950,actor,true,70,Blue,,,,,,
V,Principal,,,,,,nm0000599,Kathleen Quinlan,"Kathleen Quinlan was born in Pasadena, California, the only child of Josephine (Zachry), a military-supply supervisor, and Robert Quinlan, a television sports director. She grew up in Mill Valley, Ca, and got her break in acting when George Lucas came to her high school to cast for his movie American Graffiti (1973). She followed up her one-line role four years later with Lifeguard (1976), and then several roles in the late 1970s and 1980s. Her breakthrough performance came in 1977, as Deborah in I Never Promised You a Rose Garden (1977). She was nominated for an Academy Award in 1995 for Apollo 13 (1995). She starred in the TV series Family Law (1999), but her contract stipulated that she could not work later than 6 pm, so she could be home with her husband Bruce Abbott, son [error] (b. October 17, 1990), and stepson Dalton Abbott (b. October 4, 1989). She currently works in television and film.",,,,1954,actress,false,65,Blue,,,,,,
V,Movie,,,,,,tt0117998,Twister,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",1996,Action,4.957E8,,,,,,,,,,,
V,Principal,,,,,,nm0000166,Helen Hunt,"Born on June 15, 1963, in Culver City, California, Helen Hunt earned her first screen credit with the 1973 TV movie Pioneer Woman. She later appeared in the acclaimed 1980s medical drama St. Elsewhere, before taking on the role of Jamie Buchman in the hit '90s sitcom Mad About You, for which she won four Emmys. Hunt went on to star in the box-office hits Twister, What Women Want and Cast Away, and won a Best Actress Academy Award for As Good as it Gets. She later earned another Oscar nomination for her performance in The Sessions, and directed the feature films Then She Found Me and Ride.",,,,1963,actress,false,67,Light Brown,,,,,,
V,Principal,,,,,,nm0000415,Jami Gertz,"Jami Gertz was born on October 28, 1965 in Chicago, Illinois, USA. She is an actress and producer, known for Twister (1996), The Lost Boys (1987) and Still Standing (2002). She has been married to Antony Ressler since June 16, 1989. They have three children.",,,,1965,actress,false,65,Brown,,,,,,
V,Principal,,,,,,nm0000341,Michael Crichton,"Michael Crichton was born in Chicago, Illinois, but grew up in Roslyn, New York. His father was a journalist and encouraged him to write and to type. Michael gave up studying English at Harvard University, having become disillusioned with the teaching standards--the final straw came when he submitted an essay by George Orwell that was given a ""B-."" After giving up English and spending a year in Europe, Michael returned to Boston, Massachusetts, and attended Havard Medical School to train as a doctor. Several times, he was persuaded not to quit the course but did so after qualifying in 1969.",,,,1942,writer,true,81,Brown,,,,,,
V,Principal,,,,,,nm0000957,Jan de Bont,"Jan de Bont was born in the Netherlands to a Roman Catholic Dutch family on the 22 of October 1943. He has always had a creative mind and good mentality for camera techniques and soon got into film as a popular cinematographer. He worked on a huge number of films before finding himself on the production of the film Speed (1994), which became his first as a director. The film was a success and took him onto the next set for Twister (1996), which he also directed. But then the total flops started coming his way: firstly, Speed 2: Cruise Control (1997), which he wrote and directed but without the company of Keanu Reeves. He also directed the star-packed The Haunting (1999) but that also failed him at the Box Office.",,,,1942,writer,true,72,Blue,,,,,,
V,Principal,,,,,,nm0000450,Philip Seymour Hoffman,"Film and stage actor and theater director Philip Seymour Hoffman was born in the Rochester, New York, suburb of Fairport on July 23, 1967. He was the son of Marilyn (Loucks), a lawyer and judge, and Gordon Stowell Hoffman, a Xerox employee, and was mostly of German, Irish, English and Dutch ancestry. After becoming involved in high school theatrics, he attended New York University's Tisch School of the Arts, graduating with a B.F.A. degree in Drama in 1989. He made his feature film debut in the indie production Triple Bogey on a Par Five Hole (1991) as Phil Hoffman, and his first role in a major release came the next year in My New Gun (1992). While he had supporting roles in some other major productions like Scent of a Woman (1992) and Twister (1996), his breakthrough role came in Paul Thomas Anderson's Boogie Nights (1997).",,,,1967,actor,true,69,Blue,,,,,,
V,Movie,,,,,,tt0090605,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1979,Action,1.84694992E8,,,,,,,,,,,
V,Principal,,,,,,nm0000116,James Cameron,"ames Francis Cameron was born on August 16, 1954 in Kapuskasing, Ontario, Canada. He moved to the United States in 1971. The son of an engineer, he majored in physics at California State University before switching to English, and eventually dropping out. He then drove a truck to support his screenwriting ambition. He landed his first professional film job as art director, miniature-set builder, and process-projection supervisor on Roger Corman's Battle Beyond the Stars (1980) and had his first experience as a director with a two week stint on Piranha II: The Spawning (1981) before being fired.",,,,1954,writer,true,73,Blue,,,,,,
V,Principal,,,,,,nm0000244,Sigourney Weaver,"Sigourney Weaver was born Susan Alexandra Weaver, on October 8, 1949, in Leroy Hospital in New York City. Her father, TV producer Sylvester L. Weaver Jr., originally wanted to name her Flavia, because of his passion for Roman history (he had already named her elder brother Trajan). Her mother, Elizabeth Inglis, was a British actress who had sacrificed her career for a family. Sigourney grew up in a virtual bubble of guiltless bliss, being taken care by nannies and maids. By 1959, the Weavers had resided in 30 different households. In 1961, Sigourney began attending the Brearly Girls Academy, but her mother moved her to another New York private school, Chapin. Sigourney was quite a bit taller than most of her other classmates (at the age of 13, she was already 5' 10""), resulting in her constantly being laughed at and picked on; in order to gain their acceptance, she took on the role of class clown.",,,,1949,actress,false,73,Green,,,,,,
